IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.1.31,36234,192.168.1.1,53,17,5,100,100,2,2,0,2,1,injection
192.168.1.31,36234,192.168.1.1,53,17,5,100,100,2,2,0,2,1,ddos
192.168.1.31,58032,192.168.1.1,53,17,5,108,108,2,2,0,2,1,injection
192.168.1.31,58032,192.168.1.1,53,17,5,108,108,2,2,0,2,1,ddos
192.168.1.31,60119,192.168.1.1,53,17,5,100,100,2,2,0,3,1,dos
192.168.1.31,60119,192.168.1.1,53,17,5,100,100,2,2,0,3,1,injection
192.168.1.31,60119,192.168.1.1,53,17,5,100,100,2,2,0,3,1,ddos
192.168.1.31,45831,192.168.1.1,53,17,5,108,108,2,2,0,2,1,dos
192.168.1.31,45831,192.168.1.1,53,17,5,108,108,2,2,0,2,1,injection
192.168.1.31,45831,192.168.1.1,53,17,5,108,108,2,2,0,2,1,ddos
192.168.1.31,46176,192.168.1.1,53,17,5,100,100,2,2,0,4,1,dos
192.168.1.31,46176,192.168.1.1,53,17,5,100,100,2,2,0,4,1,injection
192.168.1.31,46176,192.168.1.1,53,17,5,100,100,2,2,0,4,1,ddos
192.168.1.31,57278,192.168.1.1,53,17,5,140,492,2,2,0,3,1,dos
192.168.1.31,60780,192.168.1.190,80,6,7,527,2239,5,6,27,151,1,ddos
192.168.1.31,60780,192.168.1.190,80,6,7,527,2239,5,6,27,151,1,password
192.168.1.31,60790,192.168.1.190,80,6,7,545,2239,5,6,27,135,1,scanning
192.168.1.31,60790,192.168.1.190,80,6,7,545,2239,5,6,27,135,1,injection
192.168.1.31,60790,192.168.1.190,80,6,7,545,2239,5,6,27,135,1,ddos
192.168.1.31,60790,192.168.1.190,80,6,7,545,2239,5,6,27,135,1,password
192.168.1.31,33516,192.168.1.152,80,6,7,563,3812,6,7,27,156,1,injection
192.168.1.31,33516,192.168.1.152,80,6,7,563,3812,6,7,27,156,1,ddos
192.168.1.31,33516,192.168.1.152,80,6,7,563,3812,6,7,27,156,1,password
192.168.1.31,33506,192.168.1.152,80,6,7,545,3812,6,7,27,189,1,injection
192.168.1.31,33506,192.168.1.152,80,6,7,545,3812,6,7,27,189,1,ddos
192.168.1.31,33506,192.168.1.152,80,6,7,545,3812,6,7,27,189,1,password
192.168.1.31,33522,192.168.1.152,80,6,7,481,3812,5,7,27,153,1,injection
192.168.1.31,33522,192.168.1.152,80,6,7,481,3812,5,7,27,153,1,ddos
192.168.1.31,33522,192.168.1.152,80,6,7,481,3812,5,7,27,153,1,password
192.168.1.31,33538,192.168.1.152,80,6,7,614,3812,7,7,27,120,1,injection
192.168.1.31,33538,192.168.1.152,80,6,7,614,3812,7,7,27,120,1,ddos
192.168.1.31,33538,192.168.1.152,80,6,7,614,3812,7,7,27,120,1,password
192.168.1.31,50048,52.59.177.21,80,6,7.178,655,12815,4,12,27,1793,1,injection
192.168.1.31,60778,192.168.1.190,80,6,7,570,2239,5,6,27,194,1,scanning
192.168.1.31,60778,192.168.1.190,80,6,7,570,2239,5,6,27,194,1,injection
192.168.1.31,60778,192.168.1.190,80,6,7,570,2239,5,6,27,194,1,ddos
192.168.1.31,60778,192.168.1.190,80,6,7,570,2239,5,6,27,194,1,password
192.168.1.31,33556,192.168.1.152,80,6,7,608,3812,7,7,27,76,1,injection
192.168.1.31,33556,192.168.1.152,80,6,7,608,3812,7,7,27,76,1,ddos
192.168.1.31,60792,192.168.1.190,80,6,7,534,2239,5,6,27,180,1,scanning
192.168.1.31,60792,192.168.1.190,80,6,7,534,2239,5,6,27,180,1,injection
192.168.1.31,60792,192.168.1.190,80,6,7,534,2239,5,6,27,180,1,ddos
192.168.1.31,60792,192.168.1.190,80,6,7,534,2239,5,6,27,180,1,password
192.168.1.31,60810,192.168.1.190,80,6,7,552,2239,5,6,27,147,1,scanning
192.168.1.31,60810,192.168.1.190,80,6,7,552,2239,5,6,27,147,1,injection
192.168.1.31,60810,192.168.1.190,80,6,7,552,2239,5,6,27,147,1,ddos
192.168.1.31,60810,192.168.1.190,80,6,7,552,2239,5,6,27,147,1,password
192.168.1.31,33520,192.168.1.152,80,6,7,556,3812,5,7,27,219,1,injection
192.168.1.31,33520,192.168.1.152,80,6,7,556,3812,5,7,27,219,1,ddos
192.168.1.31,33520,192.168.1.152,80,6,7,556,3812,5,7,27,219,1,password
192.168.1.31,33518,192.168.1.152,80,6,7,597,3708,5,5,27,220,1,injection
192.168.1.31,33518,192.168.1.152,80,6,7,597,3708,5,5,27,220,1,ddos
192.168.1.31,33518,192.168.1.152,80,6,7,597,3708,5,5,27,220,1,password
192.168.1.31,33542,192.168.1.152,80,6,7,520,3760,5,6,27,164,1,injection
192.168.1.31,33542,192.168.1.152,80,6,7,520,3760,5,6,27,164,1,ddos
192.168.1.31,33542,192.168.1.152,80,6,7,520,3760,5,6,27,164,1,password
192.168.1.31,33532,192.168.1.152,80,6,7,164,112,3,2,19,196,1,injection
192.168.1.31,33532,192.168.1.152,80,6,7,164,112,3,2,19,196,1,ddos
192.168.1.31,60806,192.168.1.190,80,6,7,577,2239,5,6,27,172,1,scanning
192.168.1.31,60806,192.168.1.190,80,6,7,577,2239,5,6,27,172,1,injection
192.168.1.31,60806,192.168.1.190,80,6,7,577,2239,5,6,27,172,1,ddos
192.168.1.31,60806,192.168.1.190,80,6,7,577,2239,5,6,27,172,1,password
192.168.1.31,60812,192.168.1.190,80,6,7,593,2239,6,6,27,146,1,scanning
192.168.1.31,60812,192.168.1.190,80,6,7,593,2239,6,6,27,146,1,injection
192.168.1.31,60812,192.168.1.190,80,6,7,593,2239,6,6,27,146,1,ddos
192.168.1.31,60812,192.168.1.190,80,6,7,593,2239,6,6,27,146,1,password
192.168.1.31,50094,52.59.177.21,80,6,7.178,562,12815,6,12,27,1757,1,injection
192.168.1.31,33534,192.168.1.152,80,6,7,647,3812,6,7,27,214,1,injection
192.168.1.31,33534,192.168.1.152,80,6,7,647,3812,6,7,27,214,1,ddos
192.168.1.31,60826,192.168.1.190,80,6,7,559,2239,5,6,27,135,1,scanning
192.168.1.31,60826,192.168.1.190,80,6,7,559,2239,5,6,27,135,1,injection
192.168.1.31,60826,192.168.1.190,80,6,7,559,2239,5,6,27,135,1,ddos
192.168.1.31,60826,192.168.1.190,80,6,7,559,2239,5,6,27,135,1,password
192.168.1.31,33572,192.168.1.152,80,6,7,554,3812,6,7,27,101,1,injection
192.168.1.31,33572,192.168.1.152,80,6,7,554,3812,6,7,27,101,1,ddos
192.168.1.31,33572,192.168.1.152,80,6,7,554,3812,6,7,27,101,1,password
192.168.1.31,39830,192.168.1.195,80,6,7,358,2111,3,4,25,24,1,scanning
192.168.1.31,39830,192.168.1.195,80,6,7,358,2111,3,4,25,24,1,injection
192.168.1.31,39830,192.168.1.195,80,6,7,358,2111,3,4,25,24,1,password
192.168.1.31,33530,192.168.1.152,80,6,7,477,3760,5,6,27,237,1,injection
192.168.1.31,33530,192.168.1.152,80,6,7,477,3760,5,6,27,237,1,ddos
192.168.1.31,33530,192.168.1.152,80,6,7,477,3760,5,6,27,237,1,password
192.168.1.31,60828,192.168.1.190,80,6,7,584,2239,5,6,27,147,1,scanning
192.168.1.31,60828,192.168.1.190,80,6,7,584,2239,5,6,27,147,1,injection
192.168.1.31,60828,192.168.1.190,80,6,7,584,2239,5,6,27,147,1,ddos
192.168.1.31,60828,192.168.1.190,80,6,7,584,2239,5,6,27,147,1,password
192.168.1.31,33552,192.168.1.152,80,6,7,549,3760,5,6,27,175,1,injection
192.168.1.31,33552,192.168.1.152,80,6,7,549,3760,5,6,27,175,1,ddos
192.168.1.31,60830,192.168.1.190,80,6,7,548,2239,5,6,27,147,1,scanning
192.168.1.31,60830,192.168.1.190,80,6,7,548,2239,5,6,27,147,1,injection
192.168.1.31,60830,192.168.1.190,80,6,7,548,2239,5,6,27,147,1,ddos
192.168.1.31,60830,192.168.1.190,80,6,7,548,2239,5,6,27,147,1,password
192.168.1.31,33554,192.168.1.152,80,6,7,480,3760,5,6,27,183,1,injection
192.168.1.31,33554,192.168.1.152,80,6,7,480,3760,5,6,27,183,1,ddos
192.168.1.31,33548,192.168.1.152,80,6,7,507,3812,5,7,27,204,1,injection
192.168.1.31,33548,192.168.1.152,80,6,7,507,3812,5,7,27,204,1,ddos
192.168.1.31,33548,192.168.1.152,80,6,7,507,3812,5,7,27,204,1,password
192.168.1.31,60832,192.168.1.190,80,6,7,618,2239,6,6,27,156,1,scanning
192.168.1.31,60832,192.168.1.190,80,6,7,618,2239,6,6,27,156,1,injection
192.168.1.31,60832,192.168.1.190,80,6,7,618,2239,6,6,27,156,1,ddos
192.168.1.31,60832,192.168.1.190,80,6,7,618,2239,6,6,27,156,1,password
192.168.1.31,60774,192.168.1.190,80,6,7,216,112,4,2,19,340,1,scanning
192.168.1.31,60774,192.168.1.190,80,6,7,216,112,4,2,19,340,1,injection
192.168.1.31,60774,192.168.1.190,80,6,7,216,112,4,2,19,340,1,ddos
192.168.1.31,60774,192.168.1.190,80,6,7,216,112,4,2,19,340,1,password
192.168.1.31,60722,192.168.1.190,80,6,7,216,112,4,2,19,517,1,scanning
192.168.1.31,60722,192.168.1.190,80,6,7,216,112,4,2,19,517,1,injection
192.168.1.31,60722,192.168.1.190,80,6,7,216,112,4,2,19,517,1,ddos
192.168.1.31,60722,192.168.1.190,80,6,7,216,112,4,2,19,517,1,password
192.168.1.31,60708,192.168.1.190,80,6,7,216,112,4,2,19,550,1,scanning
192.168.1.31,60708,192.168.1.190,80,6,7,216,112,4,2,19,550,1,injection
192.168.1.31,60708,192.168.1.190,80,6,7,216,112,4,2,19,550,1,ddos
192.168.1.31,60708,192.168.1.190,80,6,7,216,112,4,2,19,550,1,password
192.168.1.31,33550,192.168.1.152,80,6,7,480,3760,5,6,27,213,1,injection
192.168.1.31,33550,192.168.1.152,80,6,7,480,3760,5,6,27,213,1,ddos
192.168.1.31,33550,192.168.1.152,80,6,7,480,3760,5,6,27,213,1,password
192.168.1.31,50128,52.59.177.21,80,6,7.178,603,12815,5,12,27,1761,1,injection
192.168.1.31,33598,192.168.1.152,80,6,7,490,3812,5,7,27,81,1,injection
192.168.1.31,33598,192.168.1.152,80,6,7,490,3812,5,7,27,81,1,ddos
192.168.1.31,33598,192.168.1.152,80,6,7,490,3812,5,7,27,81,1,password
192.168.1.31,60794,192.168.1.190,80,6,7,216,112,4,2,19,306,1,scanning
192.168.1.31,60794,192.168.1.190,80,6,7,216,112,4,2,19,306,1,injection
192.168.1.31,60794,192.168.1.190,80,6,7,216,112,4,2,19,306,1,ddos
192.168.1.31,60794,192.168.1.190,80,6,7,216,112,4,2,19,306,1,password
192.168.1.31,60846,192.168.1.190,80,6,7,555,2239,5,6,27,145,1,scanning
192.168.1.31,60846,192.168.1.190,80,6,7,555,2239,5,6,27,145,1,injection
192.168.1.31,60846,192.168.1.190,80,6,7,555,2239,5,6,27,145,1,ddos
192.168.1.31,60846,192.168.1.190,80,6,7,555,2239,5,6,27,145,1,password
192.168.1.31,33570,192.168.1.152,80,6,7,514,3760,5,6,27,180,1,injection
192.168.1.31,33570,192.168.1.152,80,6,7,514,3760,5,6,27,180,1,ddos
192.168.1.31,60848,192.168.1.190,80,6,7,573,2239,5,6,27,139,1,scanning
192.168.1.31,60848,192.168.1.190,80,6,7,573,2239,5,6,27,139,1,injection
192.168.1.31,60848,192.168.1.190,80,6,7,573,2239,5,6,27,139,1,ddos
192.168.1.31,60848,192.168.1.190,80,6,7,573,2239,5,6,27,139,1,password
192.168.1.31,60776,192.168.1.190,80,6,7,216,112,4,2,19,368,1,scanning
192.168.1.31,60776,192.168.1.190,80,6,7,216,112,4,2,19,368,1,injection
192.168.1.31,60776,192.168.1.190,80,6,7,216,112,4,2,19,368,1,ddos
192.168.1.31,60776,192.168.1.190,80,6,7,216,112,4,2,19,368,1,password
192.168.1.31,60760,192.168.1.190,80,6,7,216,112,4,2,19,422,1,scanning
192.168.1.31,60760,192.168.1.190,80,6,7,216,112,4,2,19,422,1,injection
192.168.1.31,60760,192.168.1.190,80,6,7,216,112,4,2,19,422,1,ddos
192.168.1.31,60760,192.168.1.190,80,6,7,216,112,4,2,19,422,1,password
192.168.1.31,33568,192.168.1.152,80,6,7,543,3760,5,6,27,200,1,injection
192.168.1.31,33568,192.168.1.152,80,6,7,543,3760,5,6,27,200,1,ddos
192.168.1.31,33574,192.168.1.152,80,6,7,537,3812,5,7,27,191,1,injection
192.168.1.31,33574,192.168.1.152,80,6,7,537,3812,5,7,27,191,1,ddos
192.168.1.31,33574,192.168.1.152,80,6,7,537,3812,5,7,27,191,1,password
192.168.1.31,33586,192.168.1.152,80,6,7,409,3752,3,6,25,12,1,injection
192.168.1.31,33586,192.168.1.152,80,6,7,409,3752,3,6,25,12,1,ddos
192.168.1.31,60850,192.168.1.190,80,6,7,562,2239,5,6,27,173,1,scanning
192.168.1.31,60850,192.168.1.190,80,6,7,562,2239,5,6,27,173,1,injection
192.168.1.31,60850,192.168.1.190,80,6,7,562,2239,5,6,27,173,1,ddos
192.168.1.31,60850,192.168.1.190,80,6,7,562,2239,5,6,27,173,1,password
192.168.1.31,60860,192.168.1.190,80,6,7,580,2239,5,6,27,160,1,scanning
192.168.1.31,60860,192.168.1.190,80,6,7,580,2239,5,6,27,160,1,injection
192.168.1.31,60860,192.168.1.190,80,6,7,580,2239,5,6,27,160,1,ddos
192.168.1.31,60860,192.168.1.190,80,6,7,580,2239,5,6,27,160,1,password
192.168.1.31,33616,192.168.1.152,80,6,7,497,3760,5,6,27,126,1,injection
192.168.1.31,33616,192.168.1.152,80,6,7,497,3760,5,6,27,126,1,ddos
192.168.1.31,33616,192.168.1.152,80,6,7,497,3760,5,6,27,126,1,password
192.168.1.31,33576,192.168.1.152,80,6,7,511,3812,5,7,27,227,1,injection
192.168.1.31,33576,192.168.1.152,80,6,7,511,3812,5,7,27,227,1,ddos
192.168.1.31,33576,192.168.1.152,80,6,7,511,3812,5,7,27,227,1,password
192.168.1.31,50152,52.59.177.21,80,6,7.178,759,12815,6,12,27,1781,1,injection
192.168.1.31,50152,52.59.177.21,80,6,7.178,759,12815,6,12,27,1781,1,password
192.168.1.31,33588,192.168.1.152,80,6,7,541,3812,5,7,27,184,1,injection
192.168.1.31,33588,192.168.1.152,80,6,7,541,3812,5,7,27,184,1,ddos
192.168.1.31,60886,192.168.1.190,80,6,7,587,2239,5,6,27,114,1,scanning
192.168.1.31,60886,192.168.1.190,80,6,7,587,2239,5,6,27,114,1,injection
192.168.1.31,60886,192.168.1.190,80,6,7,587,2239,5,6,27,114,1,ddos
192.168.1.31,33614,192.168.1.152,80,6,7,580,3812,6,7,27,153,1,injection
192.168.1.31,33614,192.168.1.152,80,6,7,580,3812,6,7,27,153,1,ddos
192.168.1.31,33596,192.168.1.152,80,6,7,483,3760,5,6,27,207,1,injection
192.168.1.31,33596,192.168.1.152,80,6,7,483,3760,5,6,27,207,1,ddos
192.168.1.31,33596,192.168.1.152,80,6,7,483,3760,5,6,27,207,1,password
192.168.1.31,60876,192.168.1.190,80,6,7,569,2239,5,6,27,176,1,scanning
192.168.1.31,60876,192.168.1.190,80,6,7,569,2239,5,6,27,176,1,injection
